id,Distance,Zb,Nonuniform,Unsteady Collacated,Unsteady Staggered
7279,3639.5,9.148907249133009,2.8534523828081855,3.1084235401159033,3.0052651505748305
7280,3640.0,9.023983245131827,3.062074245800726,3.194887522553345,3.131671338643459
7281,3640.5,9.13515444142818,2.8819655950634213,3.0993812932193796,3.0074776817118902
7282,3641.0,9.083021751887474,2.97201545946843,3.1202943030960832,3.050648968987215
7283,3641.5,9.164636060825709,2.8341192513830076,3.0435681786060553,2.9543012102130075
7284,3642.0,9.17415758890772,2.819321464399632,3.0668485946560726,2.9660479164452282
7285,3642.5,9.082523162075884,2.9793665993899068,3.129290169611082,3.0594994600889307
7286,3643.0,9.191075073006004,2.7927656260580105,3.084000857724967,2.969562727719866
7287,3643.5,9.019397865740029,3.0831066844838384,3.226606249140267,3.159307473062552
7288,3644.0,9.106566086104856,2.9459289001973428,3.150762144802473,3.062326288705511
7289,3644.5,9.080968122697444,2.989883445572817,3.1780998596589516,3.094694508168399
7290,3645.0,9.056504291299854,3.0307940398647926,3.157436432556092,3.0949795082668774
7291,3645.5,9.206196630519017,2.7755591711809724,3.0709333334709528,2.954801928333191
7292,3646.0,9.041368584182884,3.0585697370124523,3.2161279189891716,3.143350024727793
7293,3646.5,9.106913193716982,2.955452358099527,3.1698152100076404,3.0777243455612795
7294,3647.0,9.0592243286803,3.0342485008530122,3.2188390365182125,3.1367005268615236
7295,3647.5,9.058182385719649,3.0376365854246195,3.2191729111193097,3.138065067138657
7296,3648.0,9.061664731983964,3.0339035332942164,3.2127480509732704,3.1326353505330036
7297,3648.5,9.077518309170632,3.0105414790580407,3.2066175649153865,3.1203444880442457
7298,3649.0,9.045485667667888,3.062692136689122,3.221701581524619,3.1480800369041853
7299,3649.5,9.093571409409122,2.9883204727838493,3.1715471938339768,3.0889864691581086
7300,3650.0,9.07767757008991,3.015691540088919,3.139821228760843,3.0768906369080957
7301,3650.5,9.200683595704929,2.807843161718162,3.022666479511298,2.9301339411974525
7302,3651.0,9.19481796471478,2.8212944241087916,3.036507047334626,2.9440708545743304
7303,3651.5,9.187320203582804,2.8374956679590064,3.0583421070398016,2.9642902874071457
7304,3652.0,9.14967297439163,2.9060087924739197,3.083323107946403,3.0029665452530456
7305,3652.5,9.197110489003258,2.8245871216589,3.0623426265953646,2.963528933033494
7306,3653.0,9.144558094629335,2.9193005894985724,3.1299584493925425,3.039374963207659
7307,3653.5,9.103144467957764,2.989851217433444,3.1595039850321767,3.0825022333131127
7308,3654.0,9.144686542794425,2.9231995739398986,3.133492261463609,3.0428848508069524
7309,3654.5,9.09852957419977,3.0011932007023825,3.1613384519850483,3.087333802152918
7310,3655.0,9.148688333321644,2.920515935473939,3.1116888273191257,3.0274759891019287
7311,3655.5,9.16199236068264,2.8999954309422393,3.120374307037676,3.0269385993918525
7312,3656.0,9.117477095790324,2.976558770224189,3.1811873970725904,3.0921591510657183
7313,3656.5,9.052978563655053,3.0803228254335746,3.1979013250091595,3.13873205829576
7314,3657.0,9.189135610319417,2.858821120036664,3.0793057294699944,2.9853692889260426
7315,3657.5,9.138718032979543,2.9475473117170647,3.1094224407043316,3.0341928065477957
7316,3658.0,9.209397400546278,2.827063687344141,3.073022219238224,2.971044458301859
7317,3658.5,9.110312244569943,2.9982452582452606,3.136866662498327,3.069146373941981
7318,3659.0,9.204959328683472,2.8397476118215343,3.0512310615406135,2.960031385474816
7319,3659.5,9.213160877128738,2.82741057234548,3.0919099411490207,2.984669871534141
7320,3660.0,9.090728884725127,3.035664361348382,3.20951601610106,3.1309026819620924
7321,3660.5,9.09755137102507,3.0266587718533255,3.1842042433877418,3.1110626890282616
7322,3661.0,9.1432718337076,2.9546155003338104,3.1272733425179595,3.048972552135059
7323,3661.5,9.18179869093869,2.8915985340509316,3.103052910593095,3.012455056886841
7324,3662.0,9.16268032001239,2.9264415357983498,3.147877507562354,3.053906525152144
7325,3662.5,9.098913628542842,3.0322416675526402,3.212685690338143,3.1314531768369624
7326,3663.0,9.065243020372122,3.0862451385175382,3.1783312948428377,3.1276373909874895
7327,3663.5,9.247628083259842,2.781169065873061,3.012224153981381,2.915876636273506
7328,3664.0,9.243993496323906,2.790851484737541,3.071244908404876,2.9603104134019578
7329,3664.5,9.10025024675778,3.038200286941591,3.195719980875167,3.1233522108335925
7330,3665.0,9.149427597124438,2.960971813715604,3.137405102535903,3.0584972913084854
7331,3665.5,9.184676087240335,2.9038520370291003,3.1196833957868635,3.027542488628412
